ID,Name,Count
2001,基础作战记录,16000
2002,初级作战记录,7253
2003,中级作战记录,1491
2004,高级作战记录,27
30011,源岩,655
30012,固源岩,25
30013,固源岩组,223
30014,提纯源岩,18
30021,代糖,442
30022,糖,389
30023,糖组,231
30024,糖聚块,20
30031,酯原料,380
30032,聚酸酯,443
30033,聚酸酯组,148
30034,聚酸酯块,6
30041,异铁碎片,324
30042,异铁,364
30043,异铁组,140
30044,异铁块,2
30051,双酮,401
30052,酮凝集,404
30053,酮凝集组,137
30054,酮阵列,13
30061,破损装置,310
30063,全新装置,171
30064,改量装置,1
30073,扭转醇,205
30074,白马醇,3
30083,轻锰矿,136
30084,三水锰矿,2
30093,研磨石,125
30094,五水研磨石,5
30103,RMA70-12,127
30104,RMA70-24,8
30115,聚合剂,1
30125,双极纳米片,4
30135,D32钢,2
30145,晶体电子单元,10
30165,重相位对映体,8
31013,凝胶,146
31014,聚合凝胶,8
31023,炽合金,134
31024,炽合金块,17
31033,晶体元件,124
31034,晶体电路,13
31043,半自然溶剂,132
31044,精炼溶剂,5
31053,化合切削液,108
31054,切削原液,16
31063,转质盐组,146
31064,转质盐聚块,5
31073,褐素纤维,113
31074,固化纤维板,2
31083,环烃聚质,185
31084,环烃预制体,6
31093,类凝结核,148
31094,手性屈光体,4
31103,液化高能气体,10
31104,液化醚吸聚体,10
31113,电极单元,13
31114,聚能动力单元,3
32001,芯片助剂,1
3211,先锋芯片,5
3212,先锋芯片组,3
3221,近卫芯片,8
3222,近卫芯片组,1
3231,重装芯片,22
3232,重装芯片组,13
3241,狙击芯片,19
3242,狙击芯片组,5
3251,术师芯片,9
3252,术师芯片组,10
3261,医疗芯片,7
3262,医疗芯片组,6
3271,辅助芯片,22
3272,辅助芯片组,13
3281,特种芯片,11
3282,特种芯片组,2
3301,技巧概要·卷1,580
3302,技巧概要·卷2,898
3303,技巧概要·卷3,62
mod_unlock_token,模组数据块,11
mod_update_token_1,数据增补条,1155
mod_update_token_2,数据增补仪,314
